"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "JSON", "HTML", "YAML", "XML", "Vue", "SCSS", "comment", "blank", "total"
"c:\Users\zy\Desktop\pentium_smart_admin\.eslintrc.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 199
"c:\Users\zy\Desktop\pentium_smart_admin\.travis.yml", "YAML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\zy\Desktop\pentium_smart_admin\README-zh.md", "Markdown", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 41, 112
"c:\Users\zy\Desktop\pentium_smart_admin\README.md", "Markdown", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 38, 100
"c:\Users\zy\Desktop\pentium_smart_admin\babel.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 14
"c:\Users\zy\Desktop\pentium_smart_admin\build\index.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\Users\zy\Desktop\pentium_smart_admin\jest.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 25
"c:\Users\zy\Desktop\pentium_smart_admin\jsconfig.json", "JSON with Comments", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10
"c:\Users\zy\Desktop\pentium_smart_admin\mock\index.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 58
"c:\Users\zy\Desktop\pentium_smart_admin\mock\mock-server.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 78
"c:\Users\zy\Desktop\pentium_smart_admin\mock\table.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\zy\Desktop\pentium_smart_admin\mock\user.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 85
"c:\Users\zy\Desktop\pentium_smart_admin\mock\utils.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"c:\Users\zy\Desktop\pentium_smart_admin\package.json", "JSON", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 1, 74
"c:\Users\zy\Desktop\pentium_smart_admin\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"c:\Users\zy\Desktop\pentium_smart_admin\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 1, 18
"c:\Users\zy\Desktop\pentium_smart_admin\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\zy\Desktop\pentium_smart_admin\src\api\authority.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 141
"c:\Users\zy\Desktop\pentium_smart_admin\src\api\equipment.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 84
"c:\Users\zy\Desktop\pentium_smart_admin\src\api\production.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 36
"c:\Users\zy\Desktop\pentium_smart_admin\src\api\public.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 76
"c:\Users\zy\Desktop\pentium_smart_admin\src\api\settlement.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 67
"c:\Users\zy\Desktop\pentium_smart_admin\src\api\user.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 90
"c:\Users\zy\Desktop\pentium_smart_admin\src\components\Breadcrumb\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 60, 0, 12, 7, 79
"c:\Users\zy\Desktop\pentium_smart_admin\src\components\Hamburger\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 31, 0, 12, 4, 47
"c:\Users\zy\Desktop\pentium_smart_admin\src\components\SvgIcon\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 57, 0, 1, 5, 63
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\example.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\eye.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\form.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\table.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svg\user.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\icons\svgo.yml", "YAML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 13, 5, 23
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\components\AppMain.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 50, 0, 3, 4, 57
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\components\Navbar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 102, 0, 17, 17, 136
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\components\Sidebar\Item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\components\Sidebar\Link.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\components\Sidebar\Logo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 71, 0, 6, 9, 86
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\components\Sidebar\SidebarItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 83, 0, 6, 7, 96
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\components\Sidebar\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 130, 0, 1, 3, 134
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\components\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 8, 98
"c:\Users\zy\Desktop\pentium_smart_admin\src\layout\mixin\ResizeHandler.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 46
"c:\Users\zy\Desktop\pentium_smart_admin\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 41
"c:\Users\zy\Desktop\pentium_smart_admin\src\permission.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 73
"c:\Users\zy\Desktop\pentium_smart_admin\src\router\index.js", "JavaScript", 201, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 212
"c:\Users\zy\Desktop\pentium_smart_admin\src\settings.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 17
"c:\Users\zy\Desktop\pentium_smart_admin\src\store\getters.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\zy\Desktop\pentium_smart_admin\src\store\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\zy\Desktop\pentium_smart_admin\src\store\modules\app.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 48
"c:\Users\zy\Desktop\pentium_smart_admin\src\store\modules\permission.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 90
"c:\Users\zy\Desktop\pentium_smart_admin\src\store\modules\settings.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 32
"c:\Users\zy\Desktop\pentium_smart_admin\src\store\modules\user.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 154
"c:\Users\zy\Desktop\pentium_smart_admin\src\styles\element-ui.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 135, 11, 8, 154
"c:\Users\zy\Desktop\pentium_smart_admin\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 100, 2, 16, 118
"c:\Users\zy\Desktop\pentium_smart_admin\src\styles\mixin.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 5, 29
"c:\Users\zy\Desktop\pentium_smart_admin\src\styles\sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 282, 12, 54, 348
"c:\Users\zy\Desktop\pentium_smart_admin\src\styles\transition.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 10, 49
"c:\Users\zy\Desktop\pentium_smart_admin\src\styles\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 20, 3, 3, 26
"c:\Users\zy\Desktop\pentium_smart_admin\src\utils\auth.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\zy\Desktop\pentium_smart_admin\src\utils\citys.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\zy\Desktop\pentium_smart_admin\src\utils\get-page-title.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\zy\Desktop\pentium_smart_admin\src\utils\index.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 33, 11, 160
"c:\Users\zy\Desktop\pentium_smart_admin\src\utils\request.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 93
"c:\Users\zy\Desktop\pentium_smart_admin\src\utils\validate.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 22
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\404.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 4, 229
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\account\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 486, 0, 24, 4, 514
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\account\staff.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 252, 0, 12, 1, 265
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\api.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 189, 0, 6, 2, 197
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\article.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 344, 0, 3, 2, 349
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\components\apis.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 88, 0, 3, 3, 94
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\components\editoritem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 82, 0, 25, 5, 112
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\components\menus.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 72, 0, 3, 4, 79
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\config.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 133, 0, 1, 2, 136
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\logs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 88, 0, 1, 2, 91
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 409, 0, 19, 3, 431
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\role.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 257, 0, 17, 2, 276
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\EcMachineTotal\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 6, 160
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\EcMap\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 141, 0, 2, 3, 146
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\EcYearYield\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 6, 149
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\EcYesterdayYield\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 5, 155
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\Weather\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 1, 107
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\china.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 21, 1, 46
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\mixins\resize.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 56
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 342, 0, 0, 1, 343
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\equipment\factoryList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 421, 0, 4, 1, 426
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\equipment\faultList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 2, 101
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\equipment\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 264, 0, 3, 2, 269
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\login\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 221, 0, 4, 18, 243
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\newData\equipment.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 490, 0, 24, 4, 518
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\newData\production.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 256, 0, 1, 2, 259
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\productionData\details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 1, 80
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\productionData\form.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 347, 0, 2, 1, 350
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\productionData\list.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 96, 0, 2, 1, 99
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 342, 0, 4, 1, 347
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\factoryDetails.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 258, 0, 3, 1, 262
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\factoryList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 1, 67
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\list.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 1, 88
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\unsettledList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 2, 66
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\.eslintrc.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\components\Breadcrumb.spec.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 98
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\components\Hamburger.spec.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\components\SvgIcon.spec.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\formatTime.spec.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\param2Obj.spec.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\parseTime.spec.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\validate.spec.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\zy\Desktop\pentium_smart_admin\vue.config.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 131
"Total", "-", 2152, 5, 133, 73, 16, 10, 11, 7520, 596, 551, 555, 11622